country,year,mobile_subs_i271,series_code,series_name,series_units,variable,mobile_subs_i911
BGR,2019,8134580.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
BGR,2020,7945740.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
BGR,2021,7902760.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
BGR,2022,7964360.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
BGR,2023,8014470.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2010,1034070.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2011,1090940.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2012,1110940.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2013,1099620.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2014,1110800.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2015,1111120.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2016,1133780.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2017,1176800.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2018,1200380.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2019,1243150.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2020,1239960.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2021,1320790.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2022,1392480.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
CYP,2023,1433500.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2010,88400000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2011,90900000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2012,92400000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2013,100034000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2014,99530000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2015,96360000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2016,103470000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2017,109700000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2018,107500000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2019,107200000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2020,107400000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2021,106400000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2022,104400000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DEU,2023,105400000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2010,6420790.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2011,7173190.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2012,7292760.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2013,7031150.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2014,7160230.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2015,7079250.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2016,6985040.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2017,7140860.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2018,7216220.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2019,7243470.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2020,7252680.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2021,7356350.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2022,7466200.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
DNK,2023,7537310.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2010,51389400.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2011,52590500.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2012,50665100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2013,50158700.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2014,50806300.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2015,51067800.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2016,51521500.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2017,52506900.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2018,54161000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2019,55354900.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2020,55647700.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2021,56805300.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2022,59020000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ESP,2023,61190500.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2010,1652810.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2011,1806080.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2012,1999750.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2013,1927420.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2014,1897550.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2015,1903550.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2016,1897920.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2017,1904430.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2018,1924030.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2019,1951050.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2020,1925790.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2021,1980840.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2022,2055790.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
EST,2023,2053470.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2010,57785000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2011,59816000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2012,62260000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2013,63324000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2014,65425000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2015,66681000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2016,67571000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2017,69018000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2018,70422000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2019,72040000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2020,72751000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2021,75304000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2022,76849000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FRA,2023,77526000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2010,8390000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2011,8940000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2012,9320000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2013,7411200.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2014,7602600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2015,7396200.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2016,7220100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2017,7160000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2018,7150000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2019,7150000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2020,7120000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2021,7150000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2022,7130000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
FIN,2023,7140000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2010,12292700.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2011,12128000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2012,13360300.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2013,12518600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2014,12144600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2015,12566600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2016,12538900.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2017,12937100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2018,12170800.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2019,11882100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2020,11413000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2021,11494000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2022,11352400.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
GRC,2023,11348300.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2010,12011800.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2011,11689900.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2012,11579400.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2013,11590300.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2014,11726500.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2015,9900580.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2016,9952000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2017,9945040.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2018,10041900.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2019,10272700.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2020,10332700.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2021,10206600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2022,10245400.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HUN,2023,10176100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2010,19179000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2011,19829300.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2012,19717000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2013,19467000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2014,19562000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2015,20809100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2016,20890000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2017,20532000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2018,21108000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2019,21762000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2020,21415000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2021,21888000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2022,20737000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
NLD,2023,22665000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2010,4928350.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2011,5115140.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2012,4971350.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2013,4721020.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2014,4461350.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2015,4415660.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2016,4414350.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2017,4315580.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2018,4388480.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2019,4404650.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2020,4375700.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2021,4402210.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2022,4480470.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
HRV,2023,4562730.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2010,93666100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2011,96040900.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2012,97188600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2013,96863100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2014,89914600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2015,87691200.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2016,85955900.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2017,83871500.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2018,83342500.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2019,79480800.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2020,77581000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2021,78114900.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2022,78502900.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ITA,2023,78462900.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2010,4701470.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2011,4906350.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2012,5013680.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2013,4880790.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2014,4912620.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2015,4902010.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2016,4875120.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2017,4898870.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2018,4971490.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2019,5160310.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2020,5234010.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2021,5373870.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2022,5652130.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
IRL,2023,5757780.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2010,4890980.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2011,4938000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2012,4997270.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2013,4565980.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2014,4267590.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2015,4184050.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2016,4204690.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2017,4361330.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2018,3764670.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2019,3704260.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2020,3672000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2021,3726650.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2022,3826340.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LTU,2023,3915930.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2010,727000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2011,764973.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2012,761314.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2013,788371.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2014,802400.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2015,806800.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2016,764000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2017,794000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2018,798600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2019,817810.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2020,838120.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2021,876350.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2022,912360.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LUX,2023,960900.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2010,2306100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2011,2309000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2012,2630870.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2013,2558000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2014,2384000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2015,2590000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2016,2650270.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2017,2464120.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2018,2070180.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2019,2071650.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2020,2051360.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2021,2161730.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2022,2167030.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
LVA,2023,2257180.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2010,455579.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2011,521748.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2012,532228.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2013,556652.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2014,546229.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2015,524161.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2016,585470.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2017,604759.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2018,615843.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2019,634386.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2020,633123.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2021,649919.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2022,701762.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
MLT,2023,749302.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2010,46952100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2011,50160200.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2012,54086200.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2013,56972800.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2014,56905300.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2015,54537200.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2016,53001800.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2017,50458900.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2018,48285500.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2019,48392900.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2020,49350700.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2021,50588700.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2022,52589300.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
POL,2023,52386600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
PRT,2010,12210400.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
PRT,2011,12334600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
PRT,2012,11917600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
PRT,2013,11991000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
PRT,2014,11895600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
PRT,2015,11714700.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
PRT,2016,11572100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
PRT,2017,11764100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
PRT,2018,11859500.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
PRT,2019,11909800.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
PRT,2020,11851100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
PRT,2021,12445100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
PRT,2022,12792300.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
